CNPJ,Velocidade,Município,UF,Faixa de Velocidade,Tecnologia,Empresa,Porte da Prestadora,Tipo de Pessoa,Tipo de Produto,Código IBGE Município,Grupo Econômico,Meio de Acesso,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
14798740000120,6036,São Paulo,SP,> 34Mbps,FTTH,ACESSOLINE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,5,5,5,5,5,5
14798740000120,"300,000000",São Paulo,SP,> 34Mbps,FTTH,ACESSOLINE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,1,1,2,0,0,0,0,0,0,0
14798740000120,"20,000000",São Paulo,SP,12Mbps a 34Mbps,FTTH,ACESSOLINE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,6,6,6,6,6,6,6,6,6,6,6,6
14798740000120,"10,000000",São Paulo,SP,2Mbps a 12Mbps,FTTH,ACESSOLINE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,1,1,1,0,0,0,0,0,0,0,0,0
14798740000120,"150,000000",São Paulo,SP,> 34Mbps,FTTH,ACESSOLINE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,1,0,0
14798740000120,"2500,000000",São Paulo,SP,> 34Mbps,FTTH,ACESSOLINE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,1,1,1,1,1,1,1,1,1
14798740000120,"340,000000",São Paulo,SP,> 34Mbps,FTTH,ACESSOLINE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,2,2,2,2,2,2,2,1,1
14798740000120,5945,São Paulo,SP,> 34Mbps,FTTH,ACESSOLINE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,2,2,4,3,4,4,4
14798740000120,16100,São Paulo,SP,> 34Mbps,FTTH,ACESSOLINE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,5,5,5,5,5,5,2
14798740000120,"60,000000",São Paulo,SP,> 34Mbps,FTTH,ACESSOLINE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,1,1,1,1,1,1,1
14798740000120,17038,São Paulo,SP,> 34Mbps,FTTH,ACESSOLINE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,1,1,1,1,1,1,1
08459944000133,"40,000000",São Paulo,SP,> 34Mbps,FTTH,JERENET - PROVEDOR DE INTERNET & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,1,1,1,1,1,1,1,1,1,1,1,1
29664433000123,"300,000000",São Paulo,SP,> 34Mbps,ETHERNET,M V DA CONCEICAO BATISTA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,0,0,1
30542272000184,"50,000000",São Paulo,SP,> 34Mbps,ETHERNET,LEKST FIBRA OPTICA COMUNICACAO MULTIMIDIA LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,235,235,235,0,0,0,0,0,0,0,0,0
30542272000184,"200,000000",São Paulo,SP,> 34Mbps,ETHERNET,LEKST FIBRA OPTICA COMUNICACAO MULTIMIDIA LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,709,10,10,0,0,0,0,0,0,0,0,0
30542272000184,"20,000000",São Paulo,SP,12Mbps a 34Mbps,ETHERNET,LEKST FIBRA OPTICA COMUNICACAO MULTIMIDIA LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,1023,1434,1434,0,0,0,0,0,0,0,0,0
30542272000184,"10,000000",São Paulo,SP,2Mbps a 12Mbps,FTTH,LEKST FIBRA OPTICA COMUNICACAO MULTIMIDIA LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,5,5,5,5,5,5,5
30542272000184,"100,000000",São Paulo,SP,> 34Mbps,ETHERNET,LEKST FIBRA OPTICA COMUNICACAO MULTIMIDIA LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,377,323,323,0,0,0,0,0,0,0,0,0
30542272000184,"150,000000",São Paulo,SP,> 34Mbps,ETHERNET,LEKST FIBRA OPTICA COMUNICACAO MULTIMIDIA LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,358,0,0,0,0,0,0,0,0,0,0,0
30542272000184,"40,000000",São Paulo,SP,> 34Mbps,ETHERNET,LEKST FIBRA OPTICA COMUNICACAO MULTIMIDIA LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,387,387,387,0,0,0,0,0,0,0,0,0
30542272000184,"35,000000",São Paulo,SP,> 34Mbps,ETHERNET,LEKST FIBRA OPTICA COMUNICACAO MULTIMIDIA LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,612,634,634,0,0,0,0,0,0,0,0,0
30542272000184,"35,000000",São Paulo,SP,> 34Mbps,ETHERNET,LEKST FIBRA OPTICA COMUNICACAO MULTIMIDIA LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,8,8,8,0,0,0,0,0,0,0,0,0
37311268000154,"440,000000",São Paulo,SP,> 34Mbps,FTTH,FIBRA NET TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,1,0,1,1,1,1
29605329000168,"10,000000",São Paulo,SP,2Mbps a 12Mbps,FTTH,Edson Rodrigo Mellado de Lima,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,5,5,5,5,5,5,5,5,5,5,5,5
10322577000173,"150,000000",São Paulo,SP,> 34Mbps,FTTH,IP2 INTERNET LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,2,2,2,2,2,2,2,2
32759765000104,"250,000000",São Paulo,SP,> 34Mbps,FTTH,Alex Fabiano da Silva,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,0,1,1
41809768000198,"350,000000",São Paulo,SP,> 34Mbps,FTTH,Aranha e Araujo Servicos Ltda,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,0,1,1
40922086000124,"4,000000",São Paulo,SP,2Mbps a 12Mbps,HDSL,Araujo e Coelho Empreendimentos Ltda,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,1,1,1
13713719000111,"100,000000",São Paulo,SP,> 34Mbps,FTTH,LWNET COMERCIO E SERVICOS DE COMUNICACOES LTDA.,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,1,1,1,1,1,1,1,1,1,1,1,1
17172716000179,"300,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,1,21,24,24
17172716000179,"300,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Rádio,0,0,0,0,0,0,0,0,159,143,127,115
17172716000179,"300,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Rádio,0,0,0,0,0,0,0,0,3,1,0,0
17172716000179,"200,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,50,9,11,0,29,26,26,24,0,4,4,5
17172716000179,"200,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Rádio,0,0,0,0,0,0,0,0,22,24,19,17
17172716000179,"200,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Rádio,0,0,0,0,0,0,0,0,1,1,1,1
17172716000179,"110,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,32,0,0,0,0,0,0,0,0,0,0,0
17172716000179,"110,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,2,0,0,0,0,0,0,0,0,0,0,0
17172716000179,"100,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,27,23,0,29,27,24,21,0,7,4,5
17172716000179,"100,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Rádio,0,0,0,0,0,0,1,2,61,53,49,43
17172716000179,"150,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,12,0,0,0,0,0,0,0,0,0,0,0
17172716000179,"500,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,10,18,14,14
17172716000179,"500,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Rádio,0,0,0,0,0,0,0,0,2,2,1,1
17172716000179,"400,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,9,0,8,10,11,12,0,0,0,0
17172716000179,"400,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Rádio,0,0,1,0,1,1,1,1,0,0,0,0
17172716000179,"600,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,10,37,65,83
17172716000179,"600,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Rádio,0,0,0,0,0,0,0,0,5,8,15,21
17172716000179,"80,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,27,26,27,0,29,26,25,22,0,0,0,0
17172716000179,"60,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,12,0,0,0,0,0,0,0,0,0,0,0
17172716000179,"120,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,31,21,0,24,25,21,21,0,0,0,0
17172716000179,"120,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,2,1,0,1,1,1,1,0,0,0,0
17172716000179,"70,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,13,11,0,12,12,12,12,0,0,0,0
17172716000179,"350,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,25,24,16,0,17,15,12,13,0,0,0,0
17172716000179,"90,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,24,1,1,0,1,1,1,1,0,0,0,0
17172716000179,"950,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,1,1,0,0
17172716000179,"210,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,71,73,0,98,99,110,130,0,0,0,0
17172716000179,"210,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Rádio,0,0,0,0,1,0,0,0,0,0,0,0
17172716000179,"210,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,1,0,2,2,1,2,0,0,0,0
17172716000179,"170,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,11,6,0,5,5,4,4,0,0,0,0
17172716000179,"900,000000",São Paulo,SP,> 34Mbps,Wi-Fi,ELITE TELECOMUNICACOES LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Rádio,0,0,0,0,0,0,0,0,1,0,0,0
36589517000105,"50,000000",São Paulo,SP,> 34Mbps,FTTH,TAGNET BANDA LARGA EIRELI,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,53,53,53,53,53,53
36589517000105,"20,000000",São Paulo,SP,12Mbps a 34Mbps,FTTH,TAGNET BANDA LARGA EIRELI,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,31,31,31,31,31,31
36589517000105,"30,000000",São Paulo,SP,12Mbps a 34Mbps,FTTH,TAGNET BANDA LARGA EIRELI,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,140,140,140,140,140,140
36589517000105,"40,000000",São Paulo,SP,> 34Mbps,FTTH,TAGNET BANDA LARGA EIRELI,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,85,85,85,85,85,85
36589517000105,"15,000000",São Paulo,SP,12Mbps a 34Mbps,FTTH,TAGNET BANDA LARGA EIRELI,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,19,19,19,19,19,19
36589517000105,"70,000000",São Paulo,SP,> 34Mbps,FTTH,TAGNET BANDA LARGA EIRELI,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,32,32,32,32,32,32
36589517000105,"90,000000",São Paulo,SP,> 34Mbps,FTTH,TAGNET BANDA LARGA EIRELI,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,1,1,1,1,1,1
35700387000173,"50,001550",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,204,0,0,0,0,0
35700387000173,"100,001560",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,445,0,0,0,0,0
35700387000173,"20,001540",São Paulo,SP,12Mbps a 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,233,0,0,0,0,0
35700387000173,"100,003310",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,128,153,0,0,0,0,0,0,0,0,0
35700387000173,"20,003040",São Paulo,SP,12Mbps a 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,149,0,0,0,0,0,0,0,0,0,0,0
35700387000173,"50,003050",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,119,0,0,0,0,0,0,0,0,0,0,0
35700387000173,"20,003290",São Paulo,SP,12Mbps a 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,149,173,0,0,0,0,0,0,0,0,0
35700387000173,"10,003030",São Paulo,SP,2Mbps a 12Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,88,0,0,0,0,0,0,0,0,0,0,0
35700387000173,"50,003300",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,119,144,0,0,0,0,0,0,0,0,0
35700387000173,"10,001530",São Paulo,SP,2Mbps a 12Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,94,0,0,0,0,0
35700387000173,"20,002290",São Paulo,SP,12Mbps a 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,233,0,0
35700387000173,"50,002300",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,204,0,0
35700387000173,"100,004560",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,274,402,0,0,0,0,0,0
35700387000173,"100,005060",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,480,620,0,0,0
35700387000173,"50,000050",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,204,0,0,0,0,0,0,0,0
35700387000173,"100,000060",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,216,0,0,0,0,0,0,0,0
35700387000173,"20,000040",São Paulo,SP,12Mbps a 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,233,0,0,0,0,0,0,0,0
35700387000173,"100,006310",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,0,0,732
35700387000173,"50,005800",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,0,204,0
35700387000173,"100,005810",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,0,716,0
35700387000173,"50,005050",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,204,204,0,0,0
35700387000173,"100,003060",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,128,0,0,0,0,0,0,0,0,0,0,0
35700387000173,"100,002310",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,672,0,0
35700387000173,"10,000030",São Paulo,SP,2Mbps a 12Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,94,0,0,0,0,0,0,0,0
35700387000173,"20,005790",São Paulo,SP,12Mbps a 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,0,233,0
35700387000173,"20,005040",São Paulo,SP,12Mbps a 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,233,233,0,0,0
35700387000173,"20,006290",São Paulo,SP,12Mbps a 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,0,0,233
35700387000173,"50,006300",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,0,0,204
35700387000173,"50,004550",São Paulo,SP,> 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,204,204,0,0,0,0,0,0
35700387000173,"10,005780",São Paulo,SP,2Mbps a 12Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,0,94,0
35700387000173,"10,006280",São Paulo,SP,2Mbps a 12Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,0,0,94
35700387000173,"10,00453",São Paulo,SP,2Mbps a 12Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,94,94,0,0,0,0,0,0
35700387000173,"20,004540",São Paulo,SP,12Mbps a 34Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,233,233,0,0,0,0,0,0
35700387000173,"10,002280",São Paulo,SP,2Mbps a 12Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,94,0,0
35700387000173,"10,003280",São Paulo,SP,2Mbps a 12Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,9,34,0,0,0,0,0,0,0,0,0
35700387000173,"10,005030",São Paulo,SP,2Mbps a 12Mbps,FTTH,EB FOX TELECOM LTDA,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,94,94,0,0,0
26336629000109,"100,001560",São Paulo,SP,> 34Mbps,ETHERNET,Fibervision Tecnologia Ltda,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Cabo Metálico,0,0,0,128,0,0,0,0,0,0,0,0
26336629000109,"100,003310",São Paulo,SP,> 34Mbps,ETHERNET,Fibervision Tecnologia Ltda,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Cabo Metálico,0,0,0,0,0,0,0,0,0,129,0,0
26336629000109,"100,003810",São Paulo,SP,> 34Mbps,ETHERNET,Fibervision Tecnologia Ltda,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Cabo Metálico,0,0,128,0,0,0,0,0,0,0,0,0
26336629000109,"100,00806",São Paulo,SP,> 34Mbps,ETHERNET,Fibervision Tecnologia Ltda,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Cabo Metálico,0,0,0,0,0,0,0,129,0,0,0,0
26336629000109,"100,00831",São Paulo,SP,> 34Mbps,ETHERNET,Fibervision Tecnologia Ltda,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Cabo Metálico,0,0,0,0,0,0,0,0,0,0,129,0
26336629000109,"50,00815",São Paulo,SP,> 34Mbps,FTTH,Fibervision Tecnologia Ltda,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,0,147,0
26336629000109,"100,00816",São Paulo,SP,> 34Mbps,FTTH,Fibervision Tecnologia Ltda,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,0,0,383,0
26336629000109,"100,000310",São Paulo,SP,> 34Mbps,ETHERNET,Fibervision Tecnologia Ltda,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Cabo Metálico,0,0,0,0,0,0,0,0,129,0,0,129
26336629000109,"100,000160",São Paulo,SP,> 34Mbps,FTTH,Fibervision Tecnologia Ltda,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,406,0,0,388
26336629000109,"100,005810",São Paulo,SP,> 34Mbps,ETHERNET,Fibervision Tecnologia Ltda,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Cabo Metálico,0,128,0,0,0,0,0,0,0,0,0,0
26336629000109,"100,003560",São Paulo,SP,> 34Mbps,ETHERNET,Fibervision Tecnologia Ltda,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Cabo Metálico,0,0,0,0,0,0,128,0,0,0,0,0
26336629000109,"50,000150",São Paulo,SP,> 34Mbps,FTTH,Fibervision Tecnologia Ltda,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,0,0,0,0,0,0,0,0,147,0,0,147
26336629000109,"100,00541",São Paulo,SP,> 34Mbps,FTTH,Fibervision Tecnologia Ltda,Pequeno Porte,Pessoa Jurídica,INTERNET,3550308,OUTROS,Fibra,18,0,0,0,0,233,0,0,0,0,0,0
26336629000109,"100,005560",São Paulo,SP,> 34Mbps,ETHERNET,Fibervision Tecnologia Ltda,Pequeno Porte,Pessoa Física,INTERNET,3550308,OUTROS,Cabo Metálico,128,0,0,0,0,128,0,0,0,0,0,0
